,code,literal,count,name,course
0,036,AUD,1, Австралійський долар ,"26,6233"
1,944,AZN,1, Азербайджанський манат ,"24,4906"
2,933,BYN,1, Білоруський рубль ,"15,1250"
3,975,BGN,1, Болгарський лев ,"22,4105"
4,410,KRW,100, Вона ,"2,9063"
5,344,HKD,1, Гонконгівський долар ,"5,3512"
6,208,DKK,1, Данська крона ,"5,8761"
7,840,USD,1, Долар США ,"41,6119"
8,978,EUR,1, Євро ,"43,8215"
9,818,EGP,1, Єгипетський фунт ,"0,8244"
10,392,JPY,10, Єна ,"2,7418"
11,985,PLN,1, Злотий ,"10,2685"
12,356,INR,10, Індійська рупія ,"4,9041"
13,124,CAD,1, Канадський долар ,"29,3828"
14,484,MXN,1, Мексиканське песо ,"2,0626"
15,498,MDL,1, Молдовський лей ,"2,2705"
16,376,ILS,1, Новий ізраїльський шекель ,"11,6303"
17,554,NZD,1, Новозеландський долар ,"24,2264"
18,578,NOK,1, Норвезька крона ,"3,7373"
19,710,ZAR,1, Ренд ,"2,3272"
20,643,RUB,10, Російський рубль ,"4,0926"
21,946,RON,1, Румунський лей ,"8,8155"
22,360,IDR,1000, Рупія ,"2,6219"
23,702,SGD,1, Сінгапурський долар ,"31,0305"
24,960,XDR,1, СПЗ (спеціальні права запозичення) ,"54,7239"
25,398,KZT,100, Теньге ,"8,1420"
26,949,TRY,1, Турецька ліра ,"1,1941"
27,348,HUF,100, Форинт ,"10,6596"
28,826,GBP,1, Фунт стерлінгів ,"53,0801"
29,203,CZK,1, Чеська крона ,"1,7462"
30,752,SEK,1, Шведська крона ,"3,7992"
31,756,CHF,1, Швейцарський франк ,"47,2782"
